OUT_EX_X,OUT_EX_Y
1.012574830473354e-08,-6.926409933629991e-05
1.014096798971225e-08,-0.0001053712894441522
1.016205513480779e-08,-5.359798450559647e-05
1.019462728829744e-08,-5.248057153414882e-06
1.025607712829615e-08,1.06713710208415e-05
1.037897680829356e-08,7.116516136838446e-06
1.052897680829356e-08,4.762242763467931e-06
1.067897680829356e-08,4.599952760591778e-06
1.082897680829356e-08,4.65664316640555e-06
1.097897680829356e-08,4.669578080331651e-06
1.112897680829356e-08,4.66941348128673e-06
1.127897680829356e-08,4.668961540503474e-06
1.142897680829356e-08,4.668906909744377e-06
1.157897680829356e-08,4.668914670252342e-06
1.172897680829356e-08,4.668917518640053e-06
1.187897680829356e-08,4.66891763943069e-06
1.202897680829355e-08,4.6689175607904e-06
1.217897680829355e-08,4.668917546318623e-06
1.232897680829355e-08,4.668917547004294e-06
1.241448840414678e-08,4.668917547542115e-06
1.25e-08,4.668917547636896e-06
1.250125e-08,-0.004407178777965324
1.25022762411431e-08,-0.007798704911999724
1.25043287234293e-08,-0.01146906371354279
1.250599846576732e-08,-0.008709515800086599
1.250755193712071e-08,0.0007276522709229057
1.250877596856035e-08,0.01370534320854802
1.251e-08,0.03148836607431538
1.251012296071871e-08,0.03388970880507874
1.251025275838933e-08,0.03642322401484453
1.251044465078867e-08,0.04016526985561662
1.251082843558737e-08,0.0476358931936333
